fNo;INCDTNUNIQUE;INCDTNO;IYR;IMO;RAILROAD;RR2;INCDTNO2;RR3;INCDTNO3;GXID;YEAR;MONTH;DAY;TIMEHR;TIMEMIN;AMPM;TYPE;CARS;CARSDMG;CARSHZD;EVACUATE;DIVISION;STATION;MILEPOST;STATE;TEMP;VISIBLTY;WEATHER;TRNSPD;TYPSPD;TRNNBR;TRNDIR;TONS;TYPEQ;EQATT;TRKNAME;TRKCLAS;TRKDNSTY;TYPTRK;RRCAR1;CARNBR1;POSITON1;LOADED1;RRCAR2;CARNBR2;POSITON2;LOADED2;HEADEND1;MIDMAN1;MIDREM1;RMAN1;RREM1;HEADEND2;MIDMAN2;MIDREM2;RMAN2;RREM2;LOADF1;LOADP1;EMPTYF1;EMPTYP1;CABOOSE1;LOADF2;LOADP2;EMPTYF2;EMPTYP2;CABOOSE2;EQPDMG;TRKDMG;CAUSE;CAUSE2;CASKLDRR;CASINJRR;CASKLD;CASINJ;ACCAUSE;ACCTRK;ACCTRKCL;HIGHSPD;ACCDMG;STCNTY;TOTINJ;TOTKLD;ENGRS;FIREMEN;CONDUCTR;BRAKEMEN;ENGHR;ENGMIN;CDTRHR;CDTRMIN;JOINTCD;REGION;TYPRR;RRDIV;METHOD;NARRLEN;YEAR4;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;COUNTY;CNTYCD;ALCOHOL;DRUG;PASSTRN;SSB1;SSB2;RCL;Latitude;Longitud;SIGNAL;MOPERA;SUBDIV;PC1;PC2;PC3;PC4;PC5
1;PCJX00057F-1;PCJX00057F;24;2;PCJX;;;PCJX;20240228D;754867B;24;2;28;8;45;PM;7;0;0;0;117;;SAN BRUNO;10.5;6;55;4;1;60;R;515;1;96900;2;Y;MAIN TRACK #1;4;0;1;JPBX;900;1;Y;;;0;;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;25000;0;M399;M399;0;0;0;0;M399;1;4;60;25000;06C081;0;0;1;0;2;0;3;29;3;29;1;7;3;SYSTEM;;601;2024;0;0;0;0;0;0;SAN MATEO;81;;;Y;2125;3;0;37.637369;-122.413078;1;1;CALTRAIN;1.497937597;6.20883884;2.64898289;-0.819891486;-3.516257605
2;SJV748624D-2;SJV748624D;24;3;SJVR;;;SJVR;SJV748624D;;24;3;31;1;5;PM;1;11;1;0;0;;FRESNO;207.3;6;60;2;1;4;R;LS70;4;4669;1;Y;ALLAN LEAD 4720;X;;4;TILX;350659;17;Y;;;0;;1;0;0;0;0;0;0;0;0;0;35;0;0;0;0;5;0;0;0;0;1500;17000;T110;;0;0;0;0;T110;4;X;4;18500;06C019;0;0;1;0;1;0;4;35;4;35;1;7;Cl;;;225;2024;0;0;0;0;0;0;FRESNO;19;;;N;2170;2;0;36.72122;-119.76709;2;5;EXETER;-0.631971371;0.134539986;-0.668189033;0.09405969;0.239963217
3;031224DR-3;031224DR;24;3;CCT;BNSF;CA0324106;CCT;031224DR;;24;3;12;7;30;AM;1;0;0;0;0;;STOCKTON;1.6;6;45;2;1;0;;;2;0;;;MAIN;1;1 MILL;2;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9600;T001;;0;0;0;0;T001;2;1;8;28600;06C077;0;0;0;0;0;0;0;;0;;2;7;3;;;664;2024;0;0;0;0;0;0;SAN JOAQUIN;77;;;;;;;37.97544;-121.266508;2;5;CENTRAL VALLEY BRANC;-0.661799509;-1.943086963;-0.342778814;0.11229153;-0.677918856
4;CA0224128-4;CA0224128;24;2;BNSF;;;BNSF;CA0224128;;24;2;24;3;15;PM;11;0;0;0;0;;BAKERSFIELD;889;6;59;2;1;10;E;HBAR;4;4443;1;Y;402;1;0;2;TTGX;971193;29;Y;;;0;;3;0;0;0;0;0;0;0;0;0;24;0;48;0;0;0;0;0;0;0;73981;0;M502;;0;0;0;0;M502;2;1;10;73981;06C029;0;0;1;0;1;0;4;15;4;15;1;7;1;;;168;2024;0;0;0;0;0;0;KERN;29;;;N;4841;2;0;35.371418;-119.047687;2;5;BAKERSFIELD;-0.418213006;0.155230996;-0.258957204;-0.075513161;0.205244004
5;PCJX00062F-5;PCJX00062F;24;3;PCJX;;;PCJX;PCJX00062F;754986K;24;3;29;8;31;PM;7;0;0;0;0;;ATHERTON;27.6;6;50;4;3;65;R;133;1;96900;2;Y;MAIN TRACK #1;4;0;1;JPBX;918;1;Y;;;0;;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;61565;M303;;0;1;0;1;M303;1;4;65;61565;06C081;1;0;1;0;2;0;3;39;3;39;1;7;3;SYSTEM;;623;2024;0;0;0;0;0;1;SAN MATEO;81;;;Y;2125;3;0;37.464861;-122.198228;1;1;CALTRAIN;1.790271811;6.354324158;3.529095301;0.524988949;-3.400599181
6;0724GL004-6;0724GL004;24;7;UP;;;UP;0724GL004;;24;7;3;1;45;PM;1;0;0;0;0;;MISSOURI VALLEY;335.23;19;83;2;1;20;E;GSME;3;15719;1;Y;WEST LEG WYE;2;82.1;1;COER;354752;113;Y;;;0;;3;3;0;0;0;0;0;0;0;0;110;0;0;0;0;1;0;0;0;0;9774;414347;T108;;0;0;0;0;T108;1;2;20;424121;19C085;0;0;1;0;1;0;11;42;11;42;1;6;CL;;;459;2024;0;0;0;0;0;0;HARRISON;85;;;N;6760;2;0;41.559634;-96.001115;1;1;BLAIR SUB;-0.239156423;5.314736257;-0.895812621;0.021617604;1.059633027
7;1002127900-7;1002127900;24;6;CPKC;;;XSAB;INDUSTRY;;24;6;29;7;5;PM;1;0;0;0;0;;MONTPELIER;207;19;84;3;1;41;R;K71-;3;2435;1;Y;SSAB SPUR;1;20.05;4;CP;4008;1;N;;;0;;2;0;0;0;0;2;0;0;0;0;19;0;0;0;0;12;0;0;0;0;3807167;9742;H510;;0;1;0;1;H510;4;1;41;3816909;19C139;1;0;1;0;1;0;6;5;6;5;1;6;1;;;207;2024;0;1;0;0;0;0;MUSCATINE;139;;;N;1386;2;0;41.4617;-90.83;2;5;OTTUMWA;0.886190323;0.792517057;2.485110139;0.423963383;0.781196987
8;1002026695-8;1002026695;24;1;CPKC;;;CPKC;1002026695;;24;1;12;12;45;AM;12;0;0;0;0;;DUBUQUE;44.5;19;26;4;6;3;E;-261;2;6873;1;Y;DQ07;2;25.09;2;FURX;922779;1;Y;;;0;;3;0;0;0;0;0;0;0;0;0;23;0;30;0;0;0;0;0;0;0;345;0;H306;;0;0;0;0;H306;2;2;3;36300;19C061;0;0;1;0;1;0;5;45;5;45;1;6;1;;;176;2024;0;0;0;0;0;0;DUBUQUE;61;0;0;N;6074;2;0;42.516681;-90.660096;2;5;MARQUETTE;-0.613532696;-0.034313169;-0.58601237;-0.003777275;0.753923922
9;0724AS003-9;0724AS003;24;7;ALS;;;ALS;0724AS003;;24;7;6;11;0;PM;1;0;0;0;0;;EAST ST LOUIS;2.55;17;74;4;1;2;E;YR22;3;10632;7;Y;YARD 171;1;;2;TTGX;979145;33;Y;;;0;;2;0;0;0;0;0;0;0;0;0;101;0;6;0;0;12;0;0;0;0;76833;1000;H523;;0;0;0;0;H523;2;1;2;77833;17C163;0;0;2;0;0;0;7;30;0;;1;6;Cl;;;500;2024;0;0;0;0;0;0;ST CLAIR;163;0;0;N;7657;2;3;38.599062;-90.152938;2;5;ALTON & SOUTHERN GAT;-0.882533585;2.064564588;-1.527029139;0.578889475;-0.81396879
10;0724AS010-10;0724AS010;24;7;ALS;UP;0724MA034;ALS;0724AS010;;24;7;20;6;35;AM;1;0;0;0;0;;EAST ST LOUIS;0.06;17;64;1;1;0;;;1;0;;;TRACK 110;1;;2;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5457;H518;;0;0;0;0;H518;1;1;6;16010;17C163;0;0;0;0;0;0;0;;0;;2;6;Cl;;;263;2024;0;0;0;0;0;0;ST CLAIR;163;;;;12237;0;;38.594954;-90.156142;2;5;CHESTER SUB;-0.683353028;-1.953051132;-0.380528659;0.122383437;-0.658069657
11;1153445-11;1153445;24;7;IC;;;IC;1153445;;24;7;20;3;32;AM;1;29;7;0;0;;VENICE;1.14;17;70;4;1;4;E;L548;1;7808;1;Y;TRACK 8;1;;2;PROX;99809;21;Y;;;0;;2;0;0;0;0;0;0;0;0;0;56;0;7;0;0;7;0;0;0;0;0;0;H703;;0;0;0;0;H703;2;1;4;0;17C119;0;0;1;0;1;0;9;50;9;50;1;6;Cl;;;177;2024;0;0;0;0;0;0;MADISON;119;0;0;N;3820;2;0;38.662847;-90.160665;2;5;ST LOUIS;-0.592165937;1.757483662;-0.892542156;-0.029196693;1.770753919
12;0724MA034-12;0724MA034;24;7;UP;;;ALS;0724AS010;;24;7;20;5;53;AM;1;0;0;0;0;;EAST ST LOUIS;0.06;17;73;1;1;6;E;MNLA;1;16155;1;Y;MAIN LINE 2;1;136;1;DTTX;795491;187;N;;;0;;3;0;0;0;0;0;0;0;0;0;112;0;75;0;0;0;0;1;0;0;10553;0;H518;;0;0;0;0;H518;1;1;6;16010;17C163;0;0;1;0;1;0;9;23;9;23;1;6;CL;;;275;2024;0;0;0;0;0;0;ST CLAIR;163;;;N;11944;2;0;38.594655;-90.156754;1;1;CHESTER SUB;-0.883287345;5.4829347;-2.187472342;0.655042745;0.278850631
13;KS0324110-13;KS0324110;24;3;BNSF;;;BNSF;KS0324110;;24;3;23;10;0;AM;1;50;1;0;0;;WELLINGTON;238.5;20;37;2;2;10;R;HBAR;3;8832;1;Y;101;1;0;2;TBOX;675122;42;Y;;;0;;3;0;1;0;0;0;0;0;0;0;15;0;186;0;0;2;0;1;0;0;30079;36711;T207;;0;0;0;0;T207;2;1;10;66790;20C191;0;0;1;0;1;0;2;;2;;1;6;1;;;214;2024;0;0;0;0;0;0;SUMNER;191;;;N;12127;2;0;37.260921;-97.391692;2;5;PANHANDLE;-0.47334997;0.006069475;-0.325681529;0.062844195;-0.620552491
14;2024FEB1D-14;2024FEB1D;24;2;PAL;;;PAL;2024FEB1D;;24;2;8;2;51;PM;1;0;0;0;0;;PADUCAH;225.5;21;64;2;1;9;R;RS2P;2;4040;1;Y;NORTH PADUCAH YARD;1;;2;MULX;91438;22;N;;;0;;2;0;0;0;0;0;0;0;0;0;21;0;40;0;0;0;0;14;0;0;31262;1500;H702;H306;0;0;0;0;H702;2;1;9;32762;21C145;0;0;2;0;1;0;5;15;5;15;1;3;Cl;;;534;2024;0;0;0;0;0;0;MCCRACKEN;145;0;0;N;4008;2;0;37.065334;-88.608928;2;5;SYSTEM;-0.418951642;0.134150968;-0.254277112;-0.137497367;0.666744302
15;215646-15;215646;24;1;CSX;;;CSX;215646;;24;1;13;6;40;AM;9;5;0;0;0;;SHEPHERDSVILLE;20.8;21;23;4;2;53;R;I141;2;5273;1;Y;SINGLE MAIN TRACK;4;29.7;1;CSXT;5207;1;Y;;;0;;2;0;0;0;0;0;0;0;0;0;35;0;9;0;0;0;0;0;0;0;12304;0;M404;;0;0;0;0;M404;1;4;53;12304;21C029;0;0;1;0;1;0;3;20;3;20;1;3;1;;;69;2024;0;0;0;0;0;0;BULLITT;29;;;N;7067;2;0;37.956749;-85.705256;1;1;MAIN LINE;1.104997466;1.112879218;2.504064249;-1.076848911;-1.03459477
16;216357-16;216357;24;2;CSX;;;CSX;216357;;24;2;24;6;25;PM;9;0;0;0;0;;PRESTONSBURG;76.5;21;35;3;2;33;E;M692;4;3563;1;Y;SINGLE MAIN TRACK;3;23.8;1;CSXT;5282;1;N;;;0;;2;0;0;0;0;0;0;0;0;0;14;0;50;0;0;0;0;0;0;0;42506;0;M404;;0;0;0;0;M404;1;3;33;42506;21C071;0;0;1;0;1;0;3;10;3;10;1;3;1;;;78;2024;0;0;0;0;0;0;FLOYD;71;;;N;4035;2;0;37.665725;-82.742312;1;1;BIG SANDY;0.4376719;-0.014000879;1.430916536;-0.703371208;-0.374308577
17;240912002-17;240912002;24;9;WIRS;;;WIRS;240912002;;24;9;12;10;10;PM;12;14;1;0;0;;HAHNVILLE;1;22;80;4;1;0;R;STCN;4;2392;7;Y;TAFT CURVE;X;;2;GATX;174;1;N;;;0;;1;0;0;0;0;1;0;0;0;0;14;0;9;0;0;1;0;0;0;0;55000;4910;H306;H302;0;0;0;0;H306;2;X;4;87536;22C089;0;0;1;0;1;1;5;40;5;40;1;5;0;;;1348;2024;0;0;0;0;0;0;ST CHARLES;89;;;N;1200;0;0;29.974073;-90.446966;2;5;SYSTEM;-0.64668147;-0.58362289;-0.560266534;-0.037243548;1.000609512
18;158071-18;158071;24;9;NS;;;NS;158071;;24;9;22;2;50;AM;4;0;0;0;0;;JENNINGS;S007.5;29;76;4;2;0;E;33KD;1;5649;1;Y;LU37;1;;2;SP;516710;87;Y;;;0;;1;0;0;0;0;0;0;0;0;0;93;0;7;0;0;2;0;2;0;0;1940;0;H403;H306;0;0;0;0;H403;2;1;4;35627;29C189;0;0;1;0;1;0;4;5;4;5;1;6;1;;;237;2024;0;0;0;0;0;0;ST LOUIS;189;0;0;N;8115;1;0;38.701955;-90.22688;2;5;ST LOUIS;-0.931192001;2.242882038;-1.67935625;0.610551858;-0.629321912
19;CH0624101-19;CH0624101;24;6;BNSF;;;BNSF;CH0624101;;24;6;3;11;0;PM;13;0;0;0;0;;HARDIN;410.4;29;68;4;3;3;R;HGAT;3;5585;1;Y;MAIN 2 TRACK;4;45.04;1;UTLX;604569;38;N;;;0;;2;0;0;0;0;0;0;0;0;0;19;0;78;0;0;0;0;0;0;0;63797;0;H302;;0;0;0;0;H302;1;4;3;63797;29C177;0;0;1;0;1;0;3;45;3;45;1;6;1;;;158;2024;0;0;0;0;0;0;RAY;177;;;N;5778;2;0;39.238365;-93.918023;1;1;MARCELINE;-0.692754997;-0.154154166;-0.728121529;0.156825093;-0.045724339
20;HL0624201-20;HL0624201;24;6;BNSF;;;BNSF;HL0624201;667835G;24;6;3;9;29;AM;7;0;0;0;0;;WEST PLAINS;314.1;29;82;2;2;41;E;SLBE;2;5254;1;Y;SINGLE MAIN TRACK;4;59.95;1;BNSF;5171;1;;;;0;;2;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;30000;13353;M302;;0;1;0;1;M302;1;4;41;43353;29C091;1;0;1;0;1;0;6;9;6;9;1;6;1;;;107;2024;0;0;0;0;0;1;HOWELL;91;;;N;5816;2;0;36.732799;-91.854963;1;1;THAYER NORTH;0.799197973;2.067223709;2.068791135;0.66587393;0.19423989
21;1002093201-21;1002093201;24;5;CPKC;;;CPKC;1002093201;;24;5;4;12;53;PM;1;0;0;0;0;;CHILLICOTHE;427.8;29;67;2;2;20;R;-180;2;3452;1;Y;SINGLE MAIN TRACK;3;15.35;1;DTTX;787770;24;Y;;;0;;2;0;0;0;0;0;0;0;0;0;24;0;0;0;0;1;0;0;0;0;6275;101220;T214;;0;0;0;0;T214;1;3;20;107495;29C117;0;0;1;0;2;0;7;52;7;52;1;6;1;;;233;2024;0;0;0;0;0;0;LIVINGSTON;117;0;0;N;2556;3;0;39.728503;-93.584481;1;1;KANSAS CITY;0.000729092;0.837631952;0.421410683;-0.496388574;1.178265384
22;HL0524112-22;HL0524112;24;5;BNSF;;;BNSF;HL0524112;;24;5;21;12;38;AM;1;0;0;0;0;;SPRINGFIELD;191.3;29;68;4;2;8;E;YSPM;4;0;8;Y;9898;1;0;2;NS;3613;2;;;;0;;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57600;0;M101;;0;0;0;0;M101;2;1;8;57600;29C077;0;0;1;0;0;1;1;37;0;;1;6;1;;;203;2024;0;0;0;0;0;0;GREENE;77;;;N;146;2;0;37.230816;-93.313891;2;5;CUBA;-0.461407728;-1.662792049;-0.001335581;-0.061276201;-0.568306708
23;1148654-23;1148654;24;3;IC;ATK;178974;IC;1148654;;24;3;25;4;12;PM;9;0;0;0;0;;BENTON;193;28;13;2;1;0;;;;0;;;SINGLE MAIN TRACKS;4;51.28;1;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M404;;0;0;0;0;M404;1;4;64;26870;28C163;0;0;0;0;0;0;0;;0;;2;3;Cl;;;108;2024;0;0;0;0;0;0;YAZOO;163;;;N;;;;32.649952;-90.371823;1;1;YAZOO;-0.058300989;-1.66409021;0.714216864;-0.170281858;-1.23369642
24;0224GP022-24;0224GP022;24;2;UP;;;UP;0224GP022;;24;2;17;1;0;AM;9;0;0;0;0;;NORTH PLATTE;287.02;31;8;4;1;6;E;YNP2;3;2123;7;Y;YARD 049;1;;2;SOXX;516899;25;N;;;0;;2;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;9;0;0;90771;16356;M410;;0;0;0;0;M410;2;1;6;107127;31C111;0;0;1;0;0;1;1;1;0;;1;6;CL;;;214;2024;0;0;0;0;0;0;LINCOLN;111;0;0;N;3814;2;3;41.150145;-100.813963;2;5;NORTH PLATTE TERMINA;-0.572770029;-1.328022111;-0.27813101;0.06342764;-0.676557575
25;0224GP040-25;0224GP040;24;2;UP;;;UP;0224GP040;;24;2;1;7;48;PM;12;0;0;0;0;;NORTH PLATTE;287;31;48;3;1;10;E;;3;100;5;N;YARD 039;1;;2;CAIX;490881;1;Y;;;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;30419;0;M407;;0;0;0;0;M407;2;1;10;30419;31C111;0;0;0;0;0;0;0;;0;;1;6;CL;;;157;2024;0;0;0;0;0;0;LINCOLN;111;;;N;60;0;2;41.150464;-100.813507;2;5;NORTH PLATTE TERMINA;-0.397599676;-1.677605137;0.124670721;-0.082476037;-0.808216952
26;0224GP040-26;0224GP040;24;2;UP;;;UP;0224GP040;;24;2;1;7;48;PM;12;0;0;0;0;;NORTH PLATTE;287;31;48;3;1;0;E;;;100;5;N;YARD 039;1;;2;NASX;4378;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;M407;;0;0;0;0;M407;2;1;10;30419;31C111;0;0;0;0;0;0;0;;0;;3;6;CL;;;157;2024;0;0;0;0;0;0;LINCOLN;111;;;N;60;0;0;41.150464;-100.813507;2;5;NORTH PLATTE TERMINA;-0.642036696;-1.915786652;-0.311676909;0.105585817;-0.704374438
27;0124GP015-27;0124GP015;24;1;UP;;;UP;0124GP015;;24;1;13;1;52;PM;1;0;0;0;0;;NORTH PLATTE;286.8;31;-15;2;2;10;E;YNP1;4;6873;7;Y;YARD 310;1;;2;TTGX;697672;59;Y;;;0;;2;0;0;0;0;0;0;0;0;0;78;0;4;0;0;2;0;0;0;0;11854;7100;M101;;0;0;0;0;M101;2;1;10;18954;31C111;0;0;1;0;0;1;6;22;0;;1;6;CL;;;229;2024;0;0;0;0;0;0;LINCOLN;111;;;N;6626;2;3;41.14986;-100.809822;2;5;NORTH PLATTE TERMINA;-0.593139163;1.706451002;-0.90960298;0.327951089;-0.896909346
28;0324HL015-28;0324HL015;24;3;UP;;;UP;0324HL015;;24;3;19;6;45;AM;1;0;0;0;0;;SANTA ROSA;696.81;35;33;1;1;7;E;MDHV;4;3599;1;Y;YARD 130;1;;4;TTGX;853500;52;Y;;;0;;3;0;0;0;0;0;0;0;0;0;52;0;0;0;0;2;0;0;0;0;56258;1078;H306;;0;0;0;0;H306;4;1;7;57336;35C019;0;0;1;0;0;1;9;30;0;;1;5;CL;;;325;2024;0;0;0;0;0;0;GUADALUPE;19;0;0;N;4888;2;0;34.947749;-104.676465;2;5;TUCUMCARI SUB;-0.615931884;0.996052253;-0.81838525;0.160373299;0.135947894
29;0324HL012-29;0324HL012;24;3;UP;;;UP;0324HL012;596229D;24;3;17;2;0;PM;7;75;0;0;0;;TUCUMCARI;631.2;35;51;2;2;68;E;ZCIG;3;8823;1;Y;SINGLE MAIN TRACK;5;45.5;1;UP;2546;1;N;;;0;;4;0;2;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;0;0;17013;0;M302;;0;0;0;0;M302;1;5;68;17013;35C037;0;0;1;0;1;0;4;44;4;42;1;5;CL;;;246;2024;0;0;0;0;0;0;QUAY;37;;;N;11250;2;0;35.226029;-103.613046;1;1;TUCUMCARI SUB;1.455632858;4.551628569;2.504360905;-0.944455482;-2.266495715
30;SW0624204-30;SW0624204;24;6;BNSF;;;BNSF;SW0624204;019928P;24;6;17;10;28;AM;7;0;0;0;0;;DEXTER;124.2;35;93;2;1;49;E;HCLO;2;2585;1;Y;SINGLE MAIN TRACK;4;5.83;1;BNSF;6892;1;;;;0;;2;0;0;0;0;0;0;0;0;0;12;0;31;0;0;0;0;0;0;0;10000;51500;M302;;0;3;0;3;M302;1;4;49;61500;35C005;3;0;1;0;2;0;6;28;6;28;1;5;1;;;117;2024;0;2;0;0;0;1;CHAVES;5;;;N;2630;3;0;33.19585;-104.37103;2;2;CARLSBAD;1.411129579;0.876247495;4.171994576;3.132073178;1.12159457
31;180943-31;180943;24;7;ATK;;;BNSF;KS0724201;013602D;24;7;1;10;51;AM;7;0;0;0;0;;RATON;662.6;35;78;2;1;74;R;3;4;0;2;Y;SINGLE MAIN TRACK;4;0;1;AMT;193;1;N;;;0;;3;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;12464;0;M302;;1;0;1;0;M302;1;5;74;12464;35C007;0;1;1;2;1;1;3;32;3;32;2;5;6;;;359;2024;0;0;0;0;1;0;COLFAX;7;;;Y;888;3;0;36.862491;-104.45735;1;1;RATON;16.99105995;-0.741114581;-0.771103131;-1.16186989;-0.539150524
32;84282-32;84282;24;12;LI;;;LI;84282;338173C;24;12;21;4;25;AM;7;0;0;0;0;;CENTRAL ISLIP;43.9;36;34;4;6;40;E;LI 7;4;0;D;Y;TRACK 1;4;9.2;1;LI;7639;1;Y;;;0;;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;165620;0;M301;;0;1;0;1;M301;1;4;40;165620;36C103;1;0;1;0;1;1;3;53;3;53;1;1;6;;;220;2024;0;0;0;0;0;1;SUFFOLK;103;;;Y;1020;1;0;40.792384;-73.192523;1;1;MAINLINE;2.021973657;-0.318512856;5.090433921;-0.529989574;-0.098616081
33;183528-33;183528;24;12;ATK;;;ATK;183528;;24;12;4;11;9;AM;13;0;0;0;0;;EASTCHESTER;15;36;39;2;1;29;E;125;2;0;2;Y;MAIN TRACK;6;0;1;AMT;604;1;N;;;0;;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;19203;0;T404;;0;0;0;0;T404;1;6;29;19203;36C005;0;0;1;1;1;1;2;49;2;49;1;1;6;;;212;2024;0;0;0;0;0;0;BRONX;5;;;Y;750;2;0;40.859659;-73.825945;1;1;NYS (HELLGATE) LINE;1.103787457;-0.816661261;2.999303258;-1.33597037;-0.452585164
34;183562-34;183562;24;12;ATK;;;CSX;222045;508753N;24;12;6;11;17;AM;7;0;0;0;0;;PALATINE BRIDGE;198.3;36;47;2;2;53;E;63;4;0;2;Y;MAIN TRACK 2;3;88.7;1;AMTK;93;1;N;;;0;;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;60000;0;M303;;0;1;0;1;M303;1;3;53;60232;36C057;1;0;1;0;1;1;2;7;2;7;2;1;6;;;228;2024;0;0;0;1;0;0;MONTGOMERY;57;;;Y;496;1;0;42.909703;-74.579478;1;1;MOHAWK;1.771910762;-0.180044459;4.460425157;-0.197088558;-0.688260051
35;183582-35;183582;24;12;ATK;;;ATK;183582;;24;12;5;7;20;PM;1;0;0;0;0;;NEW YORK;0;36;37;4;1;5.6;R;20;4;0;2;Y;30;1;0;2;AMTK;69002;8;N;AMTK;69002;8;N;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;188358;0;E64C;;0;0;0;0;E64C;2;1;5.6;188358;36C081;0;0;1;2;1;0;5;20;5;20;1;1;6;;;170;2024;0;0;0;0;0;0;QUEENS;81;;;N;665;2;0;40.750132;-73.927049;1;5;NYT (NY TERMINAL) DI;-0.470684948;-0.854155792;-0.169254578;-0.22431843;1.127624121
36;84061-36;84061;24;11;LI;;;LI;84061;;24;11;23;5;17;AM;9;0;0;0;0;;HEMPSTEAD;19.6;36;42;4;2;5;R;LI 6;3;0;D;Y;TRACK 3;1;;2;LI;9112;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;33914;26218;M199;;0;0;0;0;M199;2;1;5;60132;36C059;0;0;1;0;1;1;4;33;4;33;1;1;6;;;404;2024;0;0;0;0;0;0;NASSAU;59;0;0;N;680;1;0;40.712643;-73.626771;2;5;HEMPSTEAD;-0.499894842;-1.126095709;-0.173623203;-0.174383748;0.792134504
37;180753-37;180753;24;6;ATK;NJTR;202407359;ATK;180753;;24;6;18;6;21;AM;13;0;0;0;0;;NEW YORK;15;36;80;4;1;0;;;;0;;;MAIN TRACK 3;1;0;1;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7630;E78L;;0;0;0;0;E78L;1;1;10;21022;36C061;0;0;0;0;0;0;0;;0;;1;1;6;;;177;2024;0;0;0;0;0;0;NEW YORK;61;;;;;;;40.7506;-73.9935;1;1;NYP LINE;-0.640245991;-1.933122793;-0.305028968;0.102199623;-0.697768054
38;181191-38;181191;24;7;ATK;;;ATK;181191;;24;7;16;6;0;PM;9;0;0;0;0;;STONY POINT;190;36;90;2;3;75;E;449;1;0;2;Y;MAIN TRACK;6;0;1;AMT;131;1;N;;;0;;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;15500;0;M404;;0;0;0;0;M404;1;6;75;15500;36C083;0;0;1;1;1;1;5;50;5;50;1;1;6;;;260;2024;0;0;0;0;0;0;RENSSELAER;83;;;Y;410;2;0;42.509933;-73.70235;1;1;POST ROAD;2.390622661;0.920141841;5.088818848;-2.268877275;-0.200720355
39;82996-39;82996;24;7;MNCW;;;MNCW;82996;;24;7;11;3;0;AM;11;0;0;0;0;;SLEEPY HOLLOW;26.4;36;78;4;1;0;E;H012;1;0;A;Y;TRACK 03;4;10.47;1;ADTH;12780;1;N;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3040;112167;M406;M501;0;0;0;0;M406;1;4;0;115207;36C119;0;0;1;0;0;0;3;;0;;1;1;3;;;158;2024;0;0;0;0;0;0;WESTCHESTER;119;;;N;23;1;0;41.09313;-73.86971;1;1;MNR HUDSON LINE;-0.730172045;-1.713081732;-0.510161793;0.082328907;-0.027908528
40;CUO975224D-40;CUO975224D;24;10;CUOH;;;CUOH;CUO975224D;;24;10;16;10;45;AM;1;0;0;0;0;;NEWARK;103.71;39;50;2;2;2;R;NKL1;4;8000;7;Y;SINGLE MAIN TRACK;1;66.856;1;CDEX;16107;18;Y;;;0;;2;0;0;0;0;0;0;0;0;0;49;0;48;0;0;2;0;3;0;0;0;10950;T220;;0;0;0;0;T220;1;1;2;10950;39C089;0;0;1;0;1;0;3;45;3;45;1;2;3;;;435;2024;0;0;0;0;0;0;LICKING;89;;;N;6200;1;0;40.056294;-82.397133;2;3;C&N;-0.756641785;0.449405563;-0.964311105;0.294283828;-0.346182407
