Accidentes,Cluster
156085-381,0
155741-382,0
219131-383,0
156017-384,0
156372-385,0
157167-386,0
156637-387,0
156705-388,0
156705-389,0
156705-390,0
156783-391,0
156783-392,0
156783-393,0
156787-394,0
MT0224112-395,0
MT0424101-396,0
MT0224107-397,0
MT0124114-398,0
MT0124114-399,0
MT0224109-400,2
HL0224103-401,0
0424HL037-402,2
0424MA015-403,0
0424MA026-404,0
24011I-405,0
HL0424105-406,0
HL0424105-407,0
CH0424107-408,0
UP240215-409,0
D241124-410,0
HES020024O-411,0
1716260-412,0
158318-413,0
1024ME034-414,0
241003003-415,0
240912002-416,0
0624GC017-417,0
240526001-418,0
240526001-419,0
0524GC001-420,0
0524GC001-421,0
24101301-422,2
1024GC009-423,0
1024MA038-424,0
1024MA038-425,0
24091301-426,0
1702199-427,0
NOPB0084F-428,0
NOGC0039F-429,0
0524GC005-430,0
0524GC031-431,0
0524GC031-432,0
1024GC019-433,2
1717509-434,0
1224GC009-435,0
241104001-436,0
241104001-437,0
1024GC010-438,0
CH0524108-439,0
0424AS011-440,0
0424AS011-441,0
0524AS006-442,0
5192024-443,0
0624PR015-444,0
1145031-445,0
240612002-446,0
180150-447,0
14758-448,0
216113-449,0
155957-450,0
155708-451,0
CA1124117-452,0
CA0724109-453,0
0624NC011-454,0
180608-455,0
GCR664324L-456,0
PCJX00041F-457,0
0124NC017-458,0
0124NC030-459,0
0124LA009-460,0
SJV024824R-461,0
CA0324119-462,0
CA0624126-463,0
NW0724119-464,0
157363-465,0
2024010-466,0
2024167-467,0
180488-468,0
CA0524112-469,0
0524LA008-470,0
0124RM018-471,0
14781-472,0
9419002215-473,0
180531-474,0
31924-475,0
0824HO029-476,0
0824GC011-477,0
0824GC011-478,0
0824GC016-479,0
157189-480,0
240123004-481,0
240123004-482,0
837406-483,0
0824GC019-484,0
0824GC021-485,0
1701816-486,4
1716041-487,0
1716041-488,0
KYL798324D-489,0
RD0724103-490,0
0724GC001-491,0
0724GC001-492,0
0724GC012-493,0
NW0224101-494,0
215297-495,0
0524NC016-496,0
CA0524110-497,0
PHL00120F-498,4
177960-499,0
182412-500,0
182412-501,0
KS1224109-502,0
1151211-503,0
1151290-504,2
1152202-505,2
1149731-506,0
1224HL016-507,0
1224HL016-508,0
1024HL022-509,0
215778-510,0
PHL00119F-511,0
0624LA027-512,0
0624LA027-513,0
0624NC002-514,0
240123007-515,0
9419002188-516,0
9419002216-517,0
9419002246-518,0
CH0724116-519,0
CH0724113-520,0
CH1124104-521,0
1224HL005-522,0
0724GC012-523,0
220165-524,0
220165-525,0
220151-526,0
220165-527,0
1124GP008-528,0
HL0224108-529,1
0124GP034-530,0
0124GP034-531,0
0124GP037-532,0
0124GL041-533,2
220181-534,0
146899-535,0
146909-536,0
202409440-537,0
202409445-538,0
216021-539,0
82204-540,0
180334-541,0
156061-542,0
156020-543,0
155852-544,0
155852-545,0
24111203-546,0
1124PN018-547,0
1124PN006-548,0
COR998124R-549,0
RCP967824O-550,0
RCP008624D-551,0
216361-552,0
158624-553,0
158624-554,0
158624-555,0
158369-556,0
157750-557,0
157750-558,0
HL0824114-559,0
HL0824114-560,0
220237-561,0
218862-562,0
217806-563,0
1714325-564,0
156741-565,0
HL0624110-566,0
219542-567,0
219119-568,0
219119-569,0
157059-570,0
HL0924107-571,0
220323-572,0
158702-573,0
221191-574,0
221191-575,0
156049-576,0
156592-577,0
0624MA051-578,0
216296-579,0
216649-580,0
HL0224109-581,0
217497-582,0
156255-583,0
156425-584,0
1153150-585,0
216684-586,0
HL0524115-587,0
HL0524115-588,0
218862-589,0
218313-590,0
158369-591,0
TC0424106-592,0
TC0524203-593,0
RCP967824O-594,0
240503002-595,0
TC0524106-596,0
RCP756924L-597,0
RCP742524D-598,0
240123003-599,0
RCP706024D-600,0
2024020202-601,0
156739-602,0
181316-603,0
2024110204-604,0
219582-605,0
216252-606,2
217353-607,0
217353-608,0
217353-609,0
2024020202-610,0
180148-611,0
219377-612,0
219377-613,0
218785-614,0
218086-615,0
217798-616,0
217798-617,0
218524-618,0
221985-619,0
240725-620,0
221214-621,0
221214-622,0
221391-623,0
158082-624,0
220487-625,0
221956-626,0
180926-627,0
PWR780924R-628,0
SEPA012024-629,0
180941-630,0
L08232402-631,0
220230-632,0
SEPA072124-633,0
SEPA011724-634,0
NBER050224-635,0
R11302401-636,0
158631-637,0
182127-638,0
158578-639,0
178779-640,0
180505-641,0
158406-642,0
222369-643,0
221867-644,0
SEPA120524-645,0
158467-646,0
222261-647,0
183177-648,0
222294-649,0
158574-650,0
158406-651,0
158216-652,0
R11182402-653,0
SEPA112424-654,0
URR0003F-655,0
222261-656,0
183177-657,0
155821-658,0
155668-659,0
155837-660,0
155915-661,0
155915-662,0
155915-663,1
155933-664,0
155933-665,0
216337-666,0
156437-667,0
156437-668,0
BPR767724A-669,0
L01172402-670,0
240101-671,0
SEPA101724-672,0
221161-673,0
L04022401-674,0
156271-675,0
146916-676,0
R09032401-677,0
158072-678,0
0724PN031-679,0
0724PN040-680,0
0924PN012-681,0
0324PN002-682,0
178679-683,0
0324PN028-684,0
0324PN028-685,0
155837-686,0
PNW808724S-687,0
0524PN022-688,0
0824PN012-689,0
0724PN031-690,0
RD0124202-691,0
ID240097-692,4
11132024-693,0
RD1124104-694,0
RD1124112-695,0
RD1124117-696,0
RD1124123-697,0
RD0124108-698,0
HL0124123-699,0
RD0224203-700,0
RD0524119-701,0
RD1124104-702,0
241214001-703,0
RD1224132-704,0
KRR029424D-705,0
RD0624128-706,0
RD1224114-707,0
RD1224114-708,0
220960-709,0
220960-710,0
155981-711,0
8192024-712,0
157884-713,0
157884-714,0
158017-715,0
157555-716,0
157820-717,0
221130-718,0
221186-719,0
218857-720,0
CUO734224D-721,0
218104-722,0
218104-723,0
156896-724,0
240056C-725,0
240064-726,0
240049-727,0
240053-728,0
IOR888124D-729,0
220027-730,0
219624-731,0
219624-732,0
219207-733,0
218768-734,0
1221202401-735,0
CCET0124-736,0
155981-737,0
157102-738,0
218439-739,2
218753-740,0
218311-741,0
158017-742,0
219708-743,0
219992-744,0
158794-745,0
240077-746,0
155728-747,0
155733-748,0
155733-749,0
156024-750,0
216358-751,0
216358-752,0
155256-753,0
216218-754,0
216020-755,0
IOR724024D-756,0
RJCW2401-757,0
155376-758,0
181363-759,0
222075-760,0
155523-761,0
155523-762,0
155595-763,0
155595-764,0
240004-765,0
240008-766,0
82162-767,0
84329-768,0
222045-769,0
218820-770,0
180235-771,0
180267-772,0
216108-773,0
217362-774,0
179143-775,0
83651-776,0
83744-777,0
221121-778,0
180325-779,0
83513-780,0
181676-781,0
202407357-782,0
202407359-783,0
82924-784,2
180822-785,0
83036-786,0
83036-787,0
202409454-788,0
181818-789,0
181649-790,0
202411589-791,0
183218-792,0
84279-793,0
82919-794,0
216461-795,0
216454-796,0
222011-797,0
156178-798,0
156178-799,0
216650-800,0
82213-801,0
216108-802,0
216108-803,0
216193-804,0
216193-805,0
BER745924O-806,0
202405231-807,0
156455-808,0
156351-809,0
82446-810,0
216789-811,0
SW0424105-812,0
SW0424107-813,0
SW0424103-814,0
SW0424111-815,1
SW0324203-816,0
182763-817,0
182763-818,0
SW0924111-819,0
SW0824109-820,0
0924NC026-821,0
0224NC047-822,2
0124RM025-823,0
0124NC016-824,0
1124RM022-825,0
1024NC026-826,0
202402085-827,0
177992-828,0
202402100-829,0
202403145-830,0
178583-831,0
146850-832,0
146850-833,0
202409448-834,0
202409462-835,0
181588-836,0
202408385-837,0
202410540-838,0
146837-839,0
146841-840,0
146843-841,0
146843-842,0
202405233-843,0
202405236-844,0
202405224-845,0
202405229-846,0
180337-847,0
179358-848,0
221082-849,0
202410583-850,0
091924A-851,0
202410521-852,0
146829-853,0
146832-854,0
146832-855,0
032924A-856,0
SW1124102-857,0
183781-858,0
SW0124113-859,0
SW0124111-860,0
1124GP024-861,0
1124GP026-862,2
0824GP027-863,0
0924ES024-864,0
RCP022824D-865,0
0424GL021-866,0
0424GL031-867,0
0424GP009-868,1
HL0424123-869,1
HL0424120-870,4
HL0424120-871,0
PR0224103-872,0
0224GP002-873,0
0224GP002-874,0
0224GP018-875,0
HL0424124-876,0
0124GL018-877,0
HL0124105-878,0
PR0124107-879,0
0324GP004-880,0
PR0424101-881,0
HL0424115-882,0
0324GP004-883,0
0324GP014-884,0
0324GP017-885,0
0324GP037-886,0
0324GP037-887,0
0424GP012-888,0
0424GL017-889,0
PR0324201-890,1
PR0224109-891,0
HL1224101-892,0
PR0324105-893,2
HL0624204-894,0
1124GP004-895,0
1124GP004-896,0
1124GP012-897,0
1124GP012-898,0
1224GP014-899,0
1224GP014-900,0
1224GP019-901,0
179045-902,0
178349-903,0
TC0624119-904,4
MT0224201-905,0
1002232322-906,0
DE111724-907,0
TC0824111-908,2
DM240613A-909,2
157874-910,0
222217-911,0
158178-912,0
158414-913,0
222375-914,0
222375-915,0
221737-916,0
TC0424102-917,0
1148465-918,0
MNN522024-919,0
1148465-920,0
0424GL002-921,0
0224GL024-922,0
183107-923,0
1002077028-924,0
221574-925,0
220548-926,0
216626-927,0
216626-928,0
1717812-929,0
1717939-930,4
1717761-931,0
NOPB00065F-932,0
0624GC001-933,0
0624GC001-934,0
0624GC004-935,0
157189-936,0
0724GC028-937,0
0724GC028-938,0
NOPB0079F-939,0
NOPB00065F-940,0
OI072401-941,0
TC0624108-942,4
TC0524107-943,0
1150547-944,0
TC1024108-945,0
1124HL006-946,0
1124HL018-947,0
1024GP009-948,0
1024ES019-949,0
TC0724106-950,2
RCP830124D-951,4
0524GL022-952,0
TC0624106-953,0
CH0724105-954,0
CH0724106-955,4
CH0724110-956,0
0124PR011-957,0
1143156-958,0
ISR814624A-959,0
156602-960,0
156602-961,0
156602-962,0
215768-963,0
155587-964,0
157000-965,0
157000-966,0
157022-967,0
157022-968,0
157027-969,0
157064-970,0
157078-971,0
157078-972,0
157139-973,0
157139-974,0
180814-975,0
0124RM012-976,0
0624RM017-977,0
0524RM005-978,0
157469-979,0
218575-980,0
218575-981,0
218605-982,0
218620-983,0
218772-984,0
218772-985,0
156797-986,2
156800-987,0
0724LA059-988,0
0824LA012-989,0
0824LA040-990,0
0824NC007-991,0
219411-992,0
219579-993,0
219678-994,0
157383-995,0
220552-996,0
220529-997,0
0724LA004-998,0
0724LA012-999,0
0724LA012-1000,0
0724LA031-1001,0
CTHS00007F-1002,0
180899-1003,0
181561-1004,0
0724RM012-1005,0
0724RM021-1006,0
0524RM008-1007,0
0824PN018-1008,2
21324-1009,0
CH0224106-1010,0
CH0124118-1011,0
CH1124109-1012,0
CH1124109-1013,0
KS1124113-1014,0
215542-1015,0
178458-1016,0
219046-1017,0
219046-1018,0
807367-1019,0
884755-1020,0
181205-1021,0
80220241-1022,0
157583-1023,0
TC1024108-1024,0
MT1124103-1025,0
MT1224101-1026,0
MT1224101-1027,0
183052-1028,0
MT0824203-1029,0
1002154802-1030,0
824001-1031,0
2401-1032,0
1002154802-1033,0
TC0924109-1034,4
SEPT2401G-1035,0
0924GL009-1036,0
MNN102324-1037,0
0924GL009-1038,0
TC1224115-1039,0
0824GL008-1040,0
TC0824104-1041,2
TC0824102-1042,0
222093-1043,0
90624-1044,0
1702965-1045,0
MT0824201-1046,0
MT0824101-1047,0
MT1024106-1048,0
MT1024108-1049,2
1024GL002-1050,0
TC1124107-1051,0
TCW122324A-1052,0
1143763-1053,0
221159-1054,0
220284-1055,0
220149-1056,0
217791-1057,0
852147-1058,0
181450-1059,0
0924HL004-1060,2
0924HL009-1061,4
0924HL022-1062,0
156488-1063,0
156526-1064,0
1147815-1065,0
217384-1066,0
216777-1067,0
156316-1068,0
157594-1069,0
CIR914224D-1070,0
155558-1071,0
219872-1072,0
157649-1073,0
157649-1074,0
157829-1075,0
157829-1076,0
157594-1077,0
0924RM021-1078,0
1024PN003-1079,0
217634-1080,0
RD0424126-1081,0
1700952-1082,0
0124MA024-1083,0
1151290-1084,0
14752-1085,0
0724LA031-1086,0
0724LA034-1087,0
0724LA041-1088,0
0724LA041-1089,0
83164-1090,0
83345-1091,0
BER901524D-1092,0
182792-1093,0
181772-1094,0
183219-1095,0
183431-1096,0
84111-1097,0
181243-1098,0
221154-1099,0
221093-1100,0
221405-1101,0
155332-1102,0
220533-1103,0
220533-1104,0
158142-1105,0
GIT990824O-1106,0
0224AS011-1107,0
0224AS014-1108,0
178424-1109,0
CH0324108-1110,0
158453-1111,0
156979-1112,0
158264-1113,0
0324MA004-1114,0
0324MA004-1115,0
0324MA005-1116,0
0324MA005-1117,0
158524-1118,0
1024PN023-1119,0
1124RM001-1120,0
241227001-1121,0
178030-1122,0
155384-1123,0
9419001953-1124,0
156316-1125,0
156263-1126,0
216641-1127,0
155996-1128,0
KS0924104-1129,0
KS1024109-1130,0
0224GC022-1131,0
24041006-1132,0
216732-1133,0
MC240423A-1134,0
217791-1135,0
179430-1136,0
179476-1137,0
180747-1138,0
1152289-1139,0
M240821-1140,0
TC0124117-1141,0
0924HL020-1142,0
HL0924110-1143,0
0924ES022-1144,0
158071-1145,0
1224HL018-1146,0
MNA449924-1147,0
HL1224113-1148,0
HL1224106-1149,0
HL0824201-1150,0
HL0824205-1151,0
156394-1152,0
TC0224103-1153,0
TC0124116-1154,0
TC0124113-1155,0
102920242-1156,0
24003-1157,0
0324MA013-1158,0
0324MA013-1159,0
0324MA025-1160,0
HL0324112-1161,0
221735-1162,0
221735-1163,0
221466-1164,0
102920242-1165,0
1714524-1166,0
1714524-1167,0
1702480-1168,0
155996-1169,0
156002-1170,0
155811-1171,0
155720-1172,0
155720-1173,0
183183-1174,0
0124MA015-1175,0
0124MA015-1176,0
0124MA037-1177,0
158779-1178,0
158590-1179,0
158590-1180,0
0524MA012-1181,0
0524MA017-1182,0
BER737524A-1183,0
PWR715724D-1184,0
PWR737324O-1185,0
2024048-1186,0
2024057-1187,0
157264-1188,0
216222-1189,0
216222-1190,0
216306-1191,0
3082024-1192,0
1147194-1193,0
CSS00054F-1194,0
CFE729824D-1195,0
1151672-1196,0
N2400002-1197,0
177929-1198,0
0124CM006-1199,0
0124AS009-1200,0
1144734-1201,0
1145584-1202,0
24032901-1203,2
24006-1204,0
158642-1205,0
222297-1206,0
KS1024102-1207,0
157975-1208,0
0824HL007-1209,2
0824HL012-1210,0
1224RM024-1211,0
1224RM024-1212,0
241031004-1213,0
155560-1214,0
157415-1215,0
0524MA033-1216,1
0524MA040-1217,0
0524MA043-1218,0
0524MA049-1219,0
1024NC031-1220,0
0524NC025-1221,0
PHL0147F-1222,0
PHL0147F-1223,0
PHL0147F-1224,0
0524MA049-1225,0
218310-1226,0
221405-1227,0
FY2500709-1228,0
0424NC038-1229,0
AKM793124O-1230,0
KRR795424D-1231,0
0724MA045-1232,0
0724MA013-1233,0
0824MA001-1234,0
PHL0150F-1235,0
PHL0151F-1236,0
1143434-1237,0
0824MA023-1238,0
0824MA024-1239,0
182766-1240,0
CH0124101-1241,0
24018-1242,0
0824MA038-1243,0
HL0824206-1244,0
0924MA016-1245,0
0924MA038-1246,0
CA1224119-1247,0
CA1224110-1248,0
CA0624119-1249,0
CA0724203-1250,0
CA0124203-1251,0
222108-1252,0
182956-1253,0
158252-1254,0
158252-1255,0
158274-1256,0
ID240010-1257,0
KS0824111-1258,0
0724HL004-1259,0
0724HL023-1260,0
240401007-1261,0
2024043-1262,0
2024049-1263,0
215788-1264,0
2024082-1265,0
2024070-1266,0
BER818124O-1267,0
PWR817824R-1268,0
218650-1269,0
216015-1270,0
50124-1271,0
217361-1272,0
217361-1273,0
217575-1274,0
D241108-1275,0
M240821-1276,0
1702480-1277,0
M240821A-1278,0
215807-1279,0
180820-1280,0
2024079-1281,0
MC240625A-1282,0
BER910424D-1283,0
BER910424D-1284,0
BER910424D-1285,0
2024107-1286,0
156656-1287,0
156656-1288,0
156676-1289,0
156676-1290,0
D240608-1291,0
D240616-1292,0
157191-1293,0
156997-1294,0
178959-1295,0
MQT978124D-1296,0
MQT978124D-1297,0
181844-1298,0
73205-1299,0
62724-1300,0
215782-1301,0
BER845424D-1302,0
0324GC002-1303,0
0324GC027-1304,0
0324GC027-1305,0
240401007-1306,0
0224GC030-1307,0
0324MA026-1308,0
0324MA026-1309,0
0324MA011-1310,0
0324MA011-1311,0
1702199-1312,0
2024152-1313,0
2505-1314,0
BER737524A-1315,0
MC241014A-1316,0
216800-1317,0
217094-1318,0
217109-1319,0
156062-1320,0
216800-1321,0
KS0724108-1322,0
KS0724109-1323,2
KS0724107-1324,1
240722006-1325,0
0224HL011-1326,0
0224HL011-1327,0
0124WTA01-1328,0
CVR00044F-1329,0
0224HL005-1330,0
CVR00047F-1331,0
KS0324101-1332,0
240614005-1333,0
180383-1334,0
0624HL026-1335,0
0624HL020-1336,0
240722006-1337,0
240711005-1338,2
240710002-1339,0
157415-1340,0
156995-1341,0
N2400010-1342,0
N2400012-1343,0
20242912-1344,0
219091-1345,0
219388-1346,0
219441-1347,0
158319-1348,0
158319-1349,0
218805-1350,2
219886-1351,0
LIRC0076F-1352,0
792024-1353,0
1149746-1354,0
218305-1355,0
156868-1356,0
156704-1357,0
KS0624108-1358,0
KS0524104-1359,0
HL0524116-1360,0
KS0524107-1361,0
KS0724111-1362,0
156180-1363,0
217175-1364,0
240824002-1365,0
0524GP003-1366,4
KS0624105-1367,0
KS0624107-1368,0
24004OR-1369,0
24005OR-1370,0
155879-1371,0
155960-1372,0
0224CM004-1373,0
221351-1374,0
1701499-1375,0
20242927-1376,0
1701499-1377,0
0224MA027-1378,0
0124PR026-1379,0
14758-1380,0
24003-1381,0
156580-1382,0
156612-1383,0
0324AS013-1384,0
0324AS018-1385,0
0324AS019-1386,0
156612-1387,0
EAR000424D-1388,0
TNH023024D-1389,0
222345-1390,0
221755-1391,0
221755-1392,0
AKM005624S-1393,0
AKM005524S-1394,0
1224NC013-1395,0
221907-1396,0
X68122824-1397,0
20246051-1398,3
AGR917424R-1399,0
220447-1400,0
MNB919024O-1401,0
221822-1402,0
158627-1403,0
221538-1404,0
158807-1405,2
221822-1406,0
1224MA022-1407,0
1224MA028-1408,0
1224LA033-1409,0
1224LA038-1410,0
PCJX0113F-1411,0
183398-1412,0
221164-1413,0
157512-1414,0
BAY890424L-1415,0
BAY890524L-1416,0
MNB886324D-1417,0
157838-1418,0
157838-1419,0
HL0524107-1420,0
217843-1421,0
156595-1422,0
156595-1423,0
156642-1424,0
156642-1425,0
156594-1426,0
156730-1427,0
157578-1428,0
219049-1429,0
155636-1430,0
155636-1431,0
155638-1432,0
215700-1433,0
155317-1434,0
155317-1435,0
155386-1436,0
215534-1437,0
155980-1438,0
215904-1439,0
BAY748024D-1440,0
155814-1441,0
155841-1442,0
155841-1443,0
155829-1444,0
MNB767324D-1445,0
156023-1446,2
156032-1447,0
156117-1448,0
156141-1449,0
156169-1450,0
156184-1451,0
156507-1452,0
216647-1453,0
216647-1454,0
178756-1455,0
156341-1456,0
222076-1457,0
AGR674024L-1458,0
D68111524-1459,0
D69111824-1460,0
X58110724-1461,0
X59111224-1462,0
217225-1463,0
CIC0001F-1464,0
0924GL014-1465,0
1714479-1466,0
TC0624105-1467,0
TC0624118-1468,2
0624GL007-1469,0
0724GL005-1470,0
0724GL005-1471,0
0924GL025-1472,0
1224GP024-1473,0
D64110824-1474,0
D64110824-1475,0
20245204-1476,0
20245245-1477,0
20245263-1478,0
20245270-1479,0
215663-1480,0
20244373-1481,0
20244381-1482,0
20244386-1483,0
20244443-1484,0
1024GP031-1485,0
0424GP002-1486,0
0424GP002-1487,0
20245405-1488,0
20245469-1489,0
D57102024-1490,0
D54092124-1491,0
215955-1492,0
215955-1493,0
82830-1494,0
PHL00110F-1495,0
0224LA030-1496,0
AZE899724D-1497,0
0224NC016-1498,0
0224NC016-1499,0
0224NC021-1500,2
PHL00115F-1501,0
158359-1502,0
PR0524114-1503,0
PR0524102-1504,0
0424GP023-1505,0
CX240523A-1506,0
X49091424-1507,0
X50091724-1508,0
X51091924-1509,0
222108-1510,0
158652-1511,0
158052-1512,0
158125-1513,0
221063-1514,0
AGR913724S-1515,0
AGR913824S-1516,0
221063-1517,0
AGR817624O-1518,0
156928-1519,0
219049-1520,0
158652-1521,0
157252-1522,0
157512-1523,0
156410-1524,0
155386-1525,0
155399-1526,0
219878-1527,0
222003-1528,0
0324AS020-1529,0
1147437-1530,0
220124-1531,0
220124-1532,0
157914-1533,0
240201004-1534,0
KS0224106-1535,2
156997-1536,0
146883-1537,0
71620241-1538,0
113024-1539,0
HES866124G-1540,0
D240216-1541,0
215541-1542,0
180610-1543,0
181156-1544,0
0124HL021-1545,4
0124HL023-1546,0
240201004-1547,0
0124HL037-1548,0
0124HL002-1549,0
0124HL012-1550,0
ISR971224D-1551,0
221351-1552,0
KRR747124D-1553,0
KRR721224D-1554,0
KRR745824O-1555,0
0524MA037-1556,3
0124MA037-1557,0
HL0724113-1558,0
0524MA036-1559,0
0924MA038-1560,0
HL1024103-1561,0
0724MA003-1562,0
1124MA019-1563,0
N2490026-1564,0
1124MA026-1565,0
1024MA007-1566,4
1224MA041-1567,0
CH1124108-1568,0
216519-1569,0
217595-1570,0
24009OR-1571,0
216704-1572,0
216519-1573,0
X52092724-1574,0
12072024-1575,0
CX240613A-1576,0
0524GP024-1577,0
CX240328A-1578,0
SW1224106-1579,0
ID240077-1580,0
AZE787524D-1581,0
SW0524104-1582,0
